val_acc,val_loss,epoch,step,train_acc,train_loss
0.38596490025520325,0.7110969424247742,0,0,,
0.35672515630722046,0.7024332880973816,0,12,,
,,0,12,0.3476070463657379,0.7066547274589539
0.5087719559669495,0.6930333971977234,1,25,,
,,1,25,0.4030226767063141,0.6982297301292419
0.6257309913635254,0.6846438646316528,2,38,,
,,2,38,0.5516372919082642,0.6916309595108032
0.6608186960220337,0.6775670647621155,3,51,,
,,3,51,0.6095718145370483,0.6850955486297607
0.6666666865348816,0.6703266501426697,4,64,,
,,4,64,0.6322417855262756,0.6790005564689636
0.6783625483512878,0.6639820337295532,5,77,,
,,5,77,0.6397984623908997,0.6730918884277344
0.6725146174430847,0.6572717428207397,6,90,,
,,6,90,0.6423173546791077,0.66740483045578
0.6959064602851868,0.6515966653823853,7,103,,
,,7,103,0.6473551392555237,0.6613471508026123
0.707602322101593,0.6457005143165588,8,116,,
,,8,116,0.6599496006965637,0.655698835849762
0.7485380172729492,0.6402629613876343,9,129,,
,,9,129,0.6775818467140198,0.6500684022903442
0.7485380172729492,0.6402629613876343,10,130,,
